stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
107518,2261,Devonshire Mall at Cineplex,,42.273689,-82.999922,1,,0,,1
1511,1048,Howard at Devonshire Mall,,42.27396,-83.004843,1,,0,,1
1657,1046,Howard at Grand Marais,,42.2795554,-83.00845481,1,,0,,1
1270,1044,Howard at Charles,,42.281755,-83.009881,1,,0,,1
1555,1042,Howard at Edinborough,,42.283304,-83.010859,1,,0,,1
1265,1041,Howard at McDougall,,42.2852416,-83.01208669,1,,0,,1
1264,1039,Howard at Hildegard,,42.286858,-83.012622,1,,0,,1
2357,1038,Howard at Eugenie,,42.288774,-83.01248,1,,0,,1
1706,1035,Howard at Lens,,42.29241661,-83.01375882,1,,0,,1
1595,1034,Howard at Foch,,42.293831,-83.014666,1,,0,,1
1822,1032,Howard at Logan,,42.295277,-83.015566,1,,0,,1
1705,1030,Tecumseh E at Howard,,42.29796805,-83.01779842,1,,0,,1
1856,1028,Tecumseh E at McDougall,,42.297423,-83.020554,1,,0,,1
1541,1026,Tecumseh E at Goyeau,,42.296799,-83.023758,1,,0,,1
2205,1025,Ouellette at Tecumseh E,,42.296973,-83.02561,1,,0,,1
1685,1023,Ouellette at Hanna,,42.298182,-83.026449,1,,0,,1
2121,1021,Ouellette at Shepherd,,42.30080779,-83.02812104,1,,0,,1
1563,1019,Ouellette at Ellis,,42.302551,-83.029254,1,,0,,1
1907,1017,Ouellette at Montrose,,42.304142,-83.030292,1,,0,,1
1628,1015,Ouellette at Giles,,42.30574273,-83.03133515,1,,0,,1
2018,1013,Ouellette at Pine,,42.307257,-83.032295,1,,0,,1
1575,1011,Ouellette at Erie,,42.30939426,-83.03367885,1,,0,,1
1299,1009,Ouellette at Ouellette Manor,,42.310414,-83.034343,1,,0,,1
1557,1007,Ouellette at Elliott,,42.31212709,-83.0354363,1,,0,,1
2312,1005,Ouellette at Wyandotte,,42.314483,-83.036934,1,,0,,1
1984,1003,Ouellette at Park,,42.316718,-83.038415,1,,0,,1
1962,1001,Chatham at Ouellette,,42.31820901,-83.03996236,1,,0,,1
2299,1000,Windsor Transit Terminal,,42.317486,-83.043368,1,,0,,1
1449,1002,Ouellette at Chatham,,42.31788209,-83.0393738,1,,0,,1
1985,1004,Ouellette at Park,,42.31593522,-83.03809096,1,,0,,1
2313,1006,Ouellette at Wyandotte,,42.313499,-83.036628,1,,0,,1
1558,1008,Ouellette at Elliott,,42.31132,-83.035171,1,,0,,1
1574,1010,Ouellette at Erie,,42.30843199,-83.03332483,1,,0,,1
2017,1012,Ouellette at Pine,,42.30689793,-83.03233296,1,,0,,1
1627,1014,Ouellette at Giles,,42.304667,-83.030931,1,,0,,1
1906,1016,Ouellette at Montrose,,42.303677,-83.030285,1,,0,,1
1562,1018,Ouellette at Ellis,,42.301578,-83.028936,1,,0,,1
2120,1020,Ouellette at Shepherd,,42.30022227,-83.028057,1,,0,,1
1684,1022,Ouellette at Hanna,,42.298232,-83.026784,1,,0,,1
1963,1024,Tecumseh E at Ouellette,,42.29655312,-83.02405541,1,,0,,1
1855,1027,Tecumseh E at McDougall,,42.296983,-83.021652,1,,0,,1
1704,1029,Howard at Tecumseh E,,42.297252,-83.016887,1,,0,,1
1821,1031,Howard at Logan,,42.2954,-83.015875,1,,0,,1
2355,1033,Howard at Foch,,42.293651,-83.014802,1,,0,,1
2356,1036,Howard at Memorial,,42.29141114,-83.01347101,1,,0,,1
1585,1037,Howard at Eugenie,,42.287868,-83.012839,1,,0,,1
1857,1040,Howard at McDougall,,42.28532712,-83.01245174,1,,0,,1
1556,1043,Howard at Edinborough,,42.28349636,-83.01131464,1,,0,,1
1269,1045,Howard at Charles,,42.28172486,-83.01016355,1,,0,,1
1658,1047,Howard at Grand Marais,,42.27955184,-83.0087982,1,,0,,1
2098,1049,Howard at Roundhouse,,42.27417733,-83.00540444,1,,0,,1
1522,1050,Sydney at Windsor Commons,,42.27198673,-82.99982227,1,,0,,1
1917,1197,Forest Glade at Mulberry,,42.30475919,-82.91291373,1,,0,,1
1570,1205,Forest Glade at Elmwood,,42.30350393,-82.9130189,1,,0,,1
2296,1204,Wildwood at Rosebriar,,42.300419,-82.912153,1,,0,,1
1695,1202,Wildwood at Hemlock,,42.299411,-82.915102,1,,0,,1
1891,1201,Wildwood at Midfield,,42.299358,-82.918171,1,,0,,1
1601,1200,Wildwood at Forest Glade,,42.30160352,-82.91913229,1,,0,,1
1351,1199,Wildwood at Beachdale,,42.304917,-82.917835,1,,0,,1
1272,1198,Wildwood at Apple,,42.30605069,-82.91590343,1,,0,,1
1600,1196,Wildwood at Forest Glade,,42.306912,-82.914483,1,,0,,1
2063,1194,Forest Glade at Ridge,,42.309312,-82.915651,1,,0,,1
1546,1192,Forest Glade at Eastcourt,,42.3104,-82.915909,1,,0,,1
2187,1190,Forest Glade at Tecumseh,,42.3134445,-82.916657,1,,0,,1
2172,1188,Tecumseh at Forest Glade,,42.314195,-82.918225,1,,0,,1
1301,1186,Tecumseh at Penang,,42.314338,-82.921315,1,,0,,1
2038,1184,Tecumseh at Rafih,,42.31443015,-82.92475582,1,,0,,1
1417,1182,Tecumseh at Food Basics,,42.314371,-82.929422,1,,0,,1
1786,1180,Tecumseh at Lauzon,,42.314368,-82.931415,1,,0,,1
1331,1178,Tecumseh at Annie,,42.313802,-82.934995,1,,0,,1
1792,1176,Tecumseh at Lauzon Parkway,,42.31323058,-82.93787641,1,,0,,1
2210,1174,Tecumseh Mall Rear Entrance,,42.316078,-82.93662,1,,0,,1
2270,1172,Tecumseh at Walmart,,42.312435,-82.942045,1,,0,,1
2185,1170,Roseville at Tecumseh,,42.311316,-82.944361,1,,0,,1
1448,1168,Roseville at Charlie Brooks,,42.30926912,-82.94303604,1,,0,,1
2218,1166,Roseville at Thornberry,,42.307942,-82.945213,1,,0,,1
2216,1164,Roseville at Thornberry,,42.30727916,-82.94740952,1,,0,,1
1739,1162,Rose at Jefferson,,42.306562,-82.949821,1,,0,,1
1755,1160,Rose at Clemenceau,,42.305798,-82.952162,1,,0,,1
2065,1158,Rose at Rivard,,42.304746,-82.955191,1,,0,,1
1309,1155,Rivard at Adstoll,,42.30695344,-82.95676154,1,,0,,1
2435,2139,Rivard at Tecumseh,,42.30850543,-82.95749174,1,,0,,1
1597,1151,Tecumseh at Ford,,42.30901138,-82.95975658,1,,0,,1
1381,1149,Tecumseh at Buckingham,,42.30863652,-82.96174989,1,,0,,1
2289,1147,Tecumseh at Westminster,,42.30819562,-82.96412964,1,,0,,1
1930,1145,Tecumseh at Norman,,42.307795,-82.966284,1,,0,,1
2008,1143,Tecumseh at Pillette,,42.30750934,-82.96788556,1,,0,,1
1567,1141,Tecumseh at Ellrose,,42.307129,-82.969848,1,,0,,1
2393,1203,Tecumseh at Francois,,42.30682,-82.971441,1,,0,,1
2360,1140,Tecumseh at Rossini,,42.30627564,-82.97431124,1,,0,,1
1620,1138,Tecumseh at George,,42.305856,-82.976487,1,,0,,1
2287,1136,Tecumseh at Westcott,,42.305502,-82.978342,1,,0,,1
1435,1133,Tecumseh at Central,,42.305034,-82.980858,1,,0,,1
1876,1131,Tecumseh at Meldrum,,42.30442995,-82.98402788,1,,0,,1
1441,1129,Tecumseh at Chandler,,42.30402695,-82.9861137,1,,0,,1
1697,1127,Tecumseh at Hickory,,42.30345492,-82.98931823,1,,0,,1
1586,1126,Tecumseh at Factoria,,42.30274538,-82.99281111,1,,0,,1
2231,1124,Tecumseh at Turner,,42.30225697,-82.99540401,1,,0,,1
1543,1122,Tecumseh at Durham,,42.30191943,-82.99712961,1,,0,,1
1760,1120,Tecumseh at Kildare,,42.30137533,-82.9999426,1,,0,,1
1805,1118,Tecumseh at Lincoln,,42.300816,-83.00284,1,,0,,1
1678,1114,Tecumseh at Hall,,42.30013845,-83.00635976,1,,0,,1
1361,1112,Tecumseh at Benjamin,,42.2998,-83.008198,1,,0,,1
1973,1110,Tecumseh at Parent,,42.299088,-83.011849,1,,0,,1
1288,1107,Tecumseh @ Marentette,,42.298606,-83.014407,1,,0,,1
1707,1105,Tecumseh at Howard,,42.29818962,-83.01681739,1,,0,,1
1964,1104,University at Ouellette,,42.31753495,-83.03955327,1,,0,,1
2300,1102,Transit Terminal at Chatham,,42.31743946,-83.04331649,1,,0,,1
1377,1099,University at Bruce,,42.31604758,-83.04561056,1,,0,,1
1423,1097,University at Caron,,42.31548862,-83.04752029,1,,0,,1
1493,1095,University at Crawford,,42.31465479,-83.05014676,1,,0,,1
1568,1093,University at Elm,,42.31392707,-83.05238596,1,,0,,1
1404,1091,University at Cameron,,42.31330066,-83.05439213,1,,0,,1
1498,1090,University at Curry,,42.312489,-83.056914,1,,0,,1
1407,1088,University at Campbell,,42.31173,-83.059316,1,,0,,1
1369,1086,University at Bridge,,42.311121,-83.061229,1,,0,,1
2039,1084,University at Randolph,,42.31026409,-83.06384423,1,,0,,1
1336,1083,University at Askin,,42.30972364,-83.06552763,1,,0,,1
1996,1081,University at Patricia,,42.30864786,-83.06892851,1,,0,,1
1723,1079,University at Huron Church,,42.30802917,-83.0707573,1,,0,,1
2077,1077,Sandwich at Chewitt,,42.305907,-83.073985,1,,0,,1
2106,1074,Sandwich at Detroit,,42.304499,-83.074479,1,,0,,1
2104,1072,Mill at Sandwich,,42.301716,-83.074918,1,,0,,1
2314,1070,Mill at Wyandotte,,42.300519,-83.071396,1,,0,,1
1815,1068,Felix at Linwood,,42.29947159,-83.0700807,1,,0,,1
1476,1066,Felix at College,,42.29726667,-83.06863818,1,,0,,1
73434,1996,College at Brock,,42.296169,-83.07047,1,,0,,1
2133,1053,College at South,,42.293141,-83.073344,1,,0,,1
2030,1054,College at Prince,,42.289941,-83.075347,1,,0,,1
73437,2107,Prince at Wells,,42.289043,-83.072806,1,,0,,1
2365,2115,Prince at Mulford,,42.288269,-83.069712,1,,0,,1
2241,2121,Prince at Matchette,,42.287674,-83.06729,1,,0,,1
73435,1834,Hotel Dieu Grace Healthcare,,42.286447,-83.064606,1,,0,,1
1594,2036,Prince at Tecumseh,,42.287826,-83.067347,1,,0,,1
2208,2044,Prince at Mulford,,42.288482,-83.06997,1,,0,,1
73441,2062,Prince at Wells,,42.289312,-83.073287,1,,0,,1
73442,2072,College at Prince,,42.290018,-83.075127,1,,0,,1
73443,2078,College at South,,42.293331,-83.073092,1,,0,,1
1872,2026,College at Brock,,42.296194,-83.070148,1,,0,,1
1477,1067,Felix at College,,42.297257,-83.068489,1,,0,,1
1892,1069,Felix at Linwood,,42.299713,-83.070064,1,,0,,1
2315,1071,Mill at Donnelly,,42.30080438,-83.07184025,1,,0,,1
2105,1073,Mill at Sandwich,,42.30200873,-83.07538137,1,,0,,1
1510,1075,Sandwich at Detroit,,42.304855,-83.074207,1,,0,,1
2389,1055,Sandwich at Chewitt,,42.306162,-83.073529,1,,0,,1
1722,1078,University at Huron Church,,42.30788336,-83.07056398,1,,0,,1
2234,1080,University at Patricia,,42.308649,-83.068392,1,,0,,1
